"","mes_anio","Total","mes","anio"
"1","01/2012",431,1,2012
"2","01/2013",330,1,2013
"3","01/2014",490,1,2014
"4","01/2015",812,1,2015
"5","01/2016",994,1,2016
"6","01/2017",1247,1,2017
"7","01/2018",2586,1,2018
"8","01/2019",2626,1,2019
"9","01/2020",5203,1,2020
"10","01/2021",2610,1,2021
"11","01/2022",2462,1,2022
"12","02/2012",315,2,2012
"13","02/2013",413,2,2013
"14","02/2014",481,2,2014
"15","02/2015",874,2,2015
"16","02/2016",809,2,2016
"17","02/2017",1164,2,2017
"18","02/2018",4316,2,2018
"19","02/2019",2298,2,2019
"20","02/2020",4106,2,2020
"21","02/2021",2161,2,2021
"22","02/2022",2369,2,2022
"23","03/2012",481,3,2012
"24","03/2013",397,3,2013
"25","03/2014",445,3,2014
"26","03/2015",912,3,2015
"27","03/2016",1149,3,2016
"28","03/2017",1370,3,2017
"29","03/2018",3165,3,2018
"30","03/2019",2758,3,2019
"31","03/2020",2263,3,2020
"32","03/2021",2214,3,2021
"33","03/2022",2190,3,2022
"34","04/2012",564,4,2012
"35","04/2013",432,4,2013
"36","04/2014",555,4,2014
"37","04/2015",1034,4,2015
"38","04/2016",1340,4,2016
"39","04/2017",1043,4,2017
"40","04/2018",2430,4,2018
"41","04/2019",2116,4,2019
"42","04/2020",2034,4,2020
"43","04/2021",1946,4,2021
"44","04/2022",2355,4,2022
"45","05/2012",471,5,2012
"46","05/2013",438,5,2013
"47","05/2014",616,5,2014
"48","05/2015",875,5,2015
"49","05/2016",1519,5,2016
"50","05/2017",1361,5,2017
"51","05/2018",2487,5,2018
"52","05/2019",1913,5,2019
"53","05/2020",2015,5,2020
"54","05/2021",1932,5,2021
"55","05/2022",2301,5,2022
"56","06/2012",326,6,2012
"57","06/2013",373,6,2013
"58","06/2014",605,6,2014
"59","06/2015",807,6,2015
"60","06/2016",1302,6,2016
"61","06/2017",1427,6,2017
"62","06/2018",2711,6,2018
"63","06/2019",2117,6,2019
"64","06/2020",1953,6,2020
"65","06/2021",2452,6,2021
"66","06/2022",2335,6,2022
"67","07/2012",414,7,2012
"68","07/2013",391,7,2013
"69","07/2014",757,7,2014
"70","07/2015",876,7,2015
"71","07/2016",1521,7,2016
"72","07/2017",1429,7,2017
"73","07/2018",2228,7,2018
"74","07/2019",2102,7,2019
"75","07/2020",1825,7,2020
"76","07/2021",2347,7,2021
"77","07/2022",2227,7,2022
"78","08/2012",351,8,2012
"79","08/2013",474,8,2013
"80","08/2014",837,8,2014
"81","08/2015",804,8,2015
"82","08/2016",1563,8,2016
"83","08/2017",1561,8,2017
"84","08/2018",2060,8,2018
"85","08/2019",2048,8,2019
"86","08/2020",2321,8,2020
"87","08/2021",2026,8,2021
"88","08/2022",1891,8,2022
"89","09/2012",415,9,2012
"90","09/2013",582,9,2013
"91","09/2014",817,9,2014
"92","09/2015",967,9,2015
"93","09/2016",1159,9,2016
"94","09/2017",5845,9,2017
"95","09/2018",1786,9,2018
"96","09/2019",1856,9,2019
"97","09/2020",1966,9,2020
"98","09/2021",3196,9,2021
"99","09/2022",1131,9,2022
"100","10/2012",442,10,2012
"101","10/2013",473,10,2013
"102","10/2014",631,10,2014
"103","10/2015",919,10,2015
"104","10/2016",1400,10,2016
"105","10/2017",3804,10,2017
"106","10/2018",1820,10,2018
"107","10/2019",2219,10,2019
"108","10/2020",2156,10,2020
"109","10/2021",2340,10,2021
"110","11/2012",637,11,2012
"111","11/2013",490,11,2013
"112","11/2014",622,11,2014
"113","11/2015",973,11,2015
"114","11/2016",1429,11,2016
"115","11/2017",3241,11,2017
"116","11/2018",2186,11,2018
"117","11/2019",2128,11,2019
"118","11/2020",2062,11,2020
"119","11/2021",2847,11,2021
"120","12/2012",395,12,2012
"121","12/2013",564,12,2013
"122","12/2014",748,12,2014
"123","12/2015",1090,12,2015
"124","12/2016",1362,12,2016
"125","12/2017",3072,12,2017
"126","12/2018",2632,12,2018
"127","12/2019",2261,12,2019
"128","12/2020",2226,12,2020
"129","12/2021",2959,12,2021
